French,English,Italian,Spanish
toi,you,tu,usted
je,i,io,I
la,the,il,los
pour,to,a,para
une,a,un,a
s,s,S,s
ce,it,esso,eso
et,and,e,y
ce,that,Quello,que
t,t,T,t
de,of,di,de
est,is,è,es
dans,in,in,en
Quel,what,che cosa,qué
nous,we,noi,nosotros
moi,me,me,me
ce,this,questo,esta
il,he,lui,él
pour,for,per,por
ma,my,mio,mi
au,on,su,en
avoir,have,avere,tener
ton,your,il tuo,tu
fais,do,fare,hacer
a été,was,era,era
mèche,m,m,metro
non,no,no,no
ne pas,not,non,no
être,be,essere,ser
sont,are,sono,están
enfiler,don,assistente,don
ré,re,Rif,re
connaître,know,sapere,saber
pouvez,can,potere,lata
avec,with,insieme a,con
mais,but,ma,pero
tous,all,tutti,todos
alors,so,così,entonces
juste,just,appena,sólo
là,there,là,allí
ici,here,qui,aquí
elles ou ils,they,essi,ellos
aimer,like,piace,me gusta
ll,ll,ll,ll
avoir,get,ottenere,obtener
elle,she,lei,ella
va,go,andare,ir
si,if,Se,si
droit,right,Giusto,Correcto
en dehors,out,fuori,fuera
sur,about,di,sobre
en haut,up,su,arriba
à,at,a,en
lui,him,lui,él
à présent,now,adesso,ahora
Oh,oh,Oh,Oh
une,one,uno,una
viens,come,venire,venir
bien,well,bene,bien
son,her,suo,su
comment,how,come,cómo
Ouais,yeah,Sì,Si
monstre,ve,ve.,ve
volonté,will,volere,voluntad
a obtenu,got,avuto,tiene
vouloir,want,volere,querer
pense,think,pensare,pensar
comme,as,come,como
voir,see,vedere,ver
a fait,did,fatto,hizo
bien,good,Buona,bien
OMS,who,chi,quién
Pourquoi,why,perché,por qué
à partir de,from,da,desde
laisser,let,permettere,dejar
le sien,his,la sua,su
Oui,yes,sì,sí
lorsque,when,quando,Cuándo
Aller,going,andando,yendo
temps,time,volta,hora
une,an,un,un
d'accord,okay,Va bene,bueno
arrière,back,Indietro,espalda
voir,look,Guarda,Mira
nous,us,noi,nosotros
voudrais,would,volevo,haría
leur,them,loro,ellos
où,where,dove,donde
étaient,were,erano,fueron
prendre,take,prendere,llevar
ensuite,then,poi,luego
eu,had,avevo,tenido
ou,or,o,o
été,been,stato,estado
notre,our,nostro,nuestro
va,gonna,andando,ir a
dire,tell,raccontare,decir
vraiment,really,veramente,De Verdad
homme,man,uomo,hombre
quelque,some,alcuni,algunos
dire,say,dire,decir
Hé,hey,Ehi,Oye
pouvait,could,potevo,pudo
ré,d,D,D
davantage,didn,Didn.,Didn
par,by,di,por
besoin,need,bisogno,necesitar
quelque chose,something,qualche cosa,algo
a,has,ha,posee
aussi,too,anche,también
Suite,more,di più,más
façon,way,strada,manera
vers le bas,down,fuori uso,abajo
Fabriquer,make,Fare,hacer
très,very,molto,muy
jamais,never,mai,Nunca
seulement,only,solo,solamente
gens,people,le persone,gente
plus de,over,terminato,sobre
car,because,perché,porque
peu,little,poco,poco
s'il te plaît,please,Per favore,por favor
amour,love,amore,amor
